,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
312,312,Travis Outlaw,PF,22.0,POR,67.0,1.0,22.9,3.7,8.5,0.434,0.1,0.6,0.27,3.5,7.9,0.445,0.44299999999999995,2.1,2.7,0.79,1.0,2.3,3.2,0.8,0.9,1.1,1.0,2.2,9.6
313,313,Zaza Pachulia,C,22.0,ATL,72.0,47.0,28.1,4.0,8.5,0.474,0.0,0.0,0.0,4.0,8.5,0.475,0.474,4.1,5.2,0.7859999999999999,2.8,4.2,6.9,1.5,1.1,0.5,2.3,3.7,12.2
314,314,Scott Padgett,PF,30.0,TOT,31.0,0.0,7.5,0.5,1.8,0.28600000000000003,0.3,1.1,0.242,0.3,0.7,0.348,0.35700000000000004,0.2,0.4,0.462,0.5,1.2,1.7,0.3,0.2,0.1,0.3,1.1,1.5
315,315,Jannero Pargo,PG,27.0,NOK,82.0,7.0,20.9,3.5,8.4,0.409,1.0,2.5,0.38799999999999996,2.5,5.9,0.418,0.467,1.3,1.5,0.852,0.2,2.0,2.2,2.5,0.6,0.0,1.5,1.5,9.2
316,316,Anthony Parker,SG,31.0,TOR,73.0,73.0,33.4,4.5,9.4,0.47700000000000004,1.6,3.6,0.441,2.9,5.8,0.5,0.561,1.8,2.2,0.835,0.8,3.1,3.9,2.1,1.0,0.2,1.0,1.8,12.4
317,317,Smush Parker,PG,25.0,LAL,82.0,80.0,30.0,4.2,9.6,0.436,1.3,3.7,0.365,2.8,5.9,0.479,0.506,1.4,2.1,0.6459999999999999,0.5,2.0,2.5,2.8,1.5,0.1,1.9,2.6,11.1
318,318,Tony Parker,PG,24.0,SAS,77.0,77.0,32.5,7.4,14.2,0.52,0.2,0.5,0.395,7.2,13.7,0.525,0.527,3.6,4.5,0.7829999999999999,0.4,2.8,3.2,5.5,1.1,0.1,2.5,1.8,18.6
319,319,Ruben Patterson,SF,31.0,MIL,81.0,53.0,31.0,5.9,10.7,0.5479999999999999,0.0,0.2,0.158,5.8,10.5,0.557,0.55,3.0,4.6,0.6409999999999999,2.3,3.1,5.4,2.9,1.4,0.3,2.5,2.9,14.7
320,320,Chris Paul,PG,21.0,NOK,64.0,64.0,36.8,6.0,13.6,0.4370000000000001,0.8,2.2,0.35,5.2,11.4,0.455,0.466,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,2.4,17.3
321,321,Sasha Pavlović,SG,23.0,CLE,67.0,28.0,22.9,3.3,7.3,0.45299999999999996,0.9,2.2,0.405,2.4,5.1,0.474,0.514,1.5,1.9,0.794,0.3,2.0,2.4,1.6,0.8,0.3,1.5,2.2,9.0
